date_of_encashment,name_of_political_party,bond_number,denominations
12-Apr-19,BHARATIYA JANATA PARTY,12463,1000000
12-Apr-19,BHARATIYA JANATA PARTY,12467,1000000
12-Apr-19,BHARATIYA JANATA PARTY,12453,1000000
12-Apr-19,BHARATIYA JANATA PARTY,12475,1000000
12-Apr-19,BHARATIYA JANATA PARTY,12407,1000000
12-Apr-19,BHARATIYA JANATA PARTY,12457,1000000
12-Apr-19,BHARATIYA JANATA PARTY,12477,1000000
12-Apr-19,BHARATIYA JANATA PARTY,12451,1000000
12-Apr-19,BHARATIYA JANATA PARTY,12479,1000000
12-Apr-19,BHARATIYA JANATA PARTY,12421,1000000
12-Apr-19,BHARATIYA JANATA PARTY,12423,1000000
12-Apr-19,BHARATIYA JANATA PARTY,12443,1000000
12-Apr-19,BHARATIYA JANATA PARTY,12419,1000000
12-Apr-19,BHARATIYA JANATA PARTY,12427,1000000
12-Apr-19,BHARATIYA JANATA PARTY,12408,1000000
12-Apr-19,BHARATIYA JANATA PARTY,12398,1000000
12-Apr-19,BHARATIYA JANATA PARTY,12394,1000000
12-Apr-19,BHARATIYA JANATA PARTY,12402,1000000
12-Apr-19,BHARATIYA JANATA PARTY,12396,1000000
12-Apr-19,BHARATIYA JANATA PARTY,12390,1000000
12-Apr-19,BHARATIYA JANATA PARTY,12406,1000000
12-Apr-19,BHARATIYA JANATA PARTY,12404,1000000
12-Apr-19,BHARATIYA JANATA PARTY,12392,1000000
12-Apr-19,BHARATIYA JANATA PARTY,12400,1000000
12-Apr-19,BHARATIYA JANATA PARTY,12472,1000000
12-Apr-19,BHARATIYA JANATA PARTY,12480,1000000
12-Apr-19,BHARATIYA JANATA PARTY,12476,1000000
12-Apr-19,BHARATIYA JANATA PARTY,12474,1000000
12-Apr-19,BHARATIYA JANATA PARTY,12478,1000000
12-Apr-19,BHARATIYA JANATA PARTY,12468,1000000
12-Apr-19,BHARATIYA JANATA PARTY,12484,1000000
12-Apr-19,BHARATIYA JANATA PARTY,12482,1000000
12-Apr-19,BHARATIYA JANATA PARTY,12470,1000000
12-Apr-19,BHARATIYA JANATA PARTY,888,1000000
12-Apr-19,BHARATIYA JANATA PARTY,876,1000000
12-Apr-19,BHARATIYA JANATA PARTY,883,1000000
